Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
JAREN HAGGARD,361,7,95.88,9,7,2,98.3,88.17
CHAZ KLEIN,362,23,95.86,13,11,2,98,97.48
NOLAN MAROLF,363,2,95.83,3,15,2,107.96,119.3
MICHAEL NELSON,364,100,95.74,3,15,2,101.81,114.12
NIC ALBORNOZ,365,5,95.7,24,31,5,95.29,98.9
IASON HAYES,366,5,95.7,24,35,6,97.57,103.21
JOEY BATTLE,367,50,95.59,8,7,2,91.47,91.89
THOMAS TROYER,368,4,95.51,18,14,3,102.07,90.2
MATT MORELLI,369,74,95.45,2,15,2,101.22,117.74
CARTER HODGSON,370,8,95.17,1,14,2,95.17,127.1
DAVID SEO,370,8,95.17,1,14,2,95.17,127.1
JACOB GANSLE,372,3,95.15,18,38,5,98.89,106.37
BRANDON FUNG,373,65,95.14,8,8,2,93.27,93.79
ETHAN WESTFALL,374,40,95.06,22,16,4,91.86,90.37
RYAN PAUL,375,37,94.99,17,47,7,97.78,109.72
NATHAN WITMER,376,27,94.84,15,14,3,94.83,92.08
ANDREW LUQUE,377,172,94.13,6,7,2,99.32,94.9
RILEY LEBLANC,378,5,94.11,4,14,2,94.11,110.24
ALEX LEBLANC,378,5,94.11,4,14,2,94.11,110.24
380,1,93.95,7,19,3,82.06,108.33
FELIPE MARTINEZ,381,1,93.92,20,41,6,94.33,106.25
SPENCER ARGENNA,382,68,93.81,2,14,2,103.43,116.94
MATTHEW GREATHOUSE,383,23,93.77,22,16,4,89.89,89.12
IAN TIMAN,384,3,93.37,6,19,3,101.62,110.35
PHILIP CREMER,385,34,93.3,14,9,2,93.53,87.52
RYAN LECHNER,386,4,93.23,6,8,2,94.04,98.37
TIFF DING,387,47,93.1,6,8,2,105.43,94.26
LIAM KEEGAN,388,12,92.72,18,14,3,91.19,89.45
ARJUN DHANKANI,389,71,92.54,3,14,2,101.93,112.64
JP MITCHELL,390,13,92.34,16,17,3,92.9,92.34
JAMES LEDBETTER,391,8,92.31,19,64,8,94.98,110.13
PAUL BELTON,392,5,92,9,24,3,92,106.35
WALTER SILLER,392,5,92,9,24,3,92,106.35
JON LEFROIS,394,1,91.94,6,8,2,94.07,96.96
MIKE HAMILTON,395,46,91.84,20,20,4,91.13,90.97
CAMDEN SANDBERG,396,12,91.73,7,22,3,95.62,109.54
BRANDON TIMONERE,397,81,91.55,7,10,2,92.61,96.03
HENRY RAMAN,398,17,91.51,3,16,2,90.9,114.53
DREW WEAVER,399,30,91.47,12,12,3,91.8,89.97
MARTY MERIGOLD,400,14,91.26,21,21,4,96.59,90.8
JOSEPH MOTTO,401,9,91.15,8,11,2,91.15,95.87
SEAN CAUFIELD,401,9,91.15,8,11,2,91.15,95.87
HENRY SWITZ,403,14,91.1,8,8,2,91.01,89.82
COLIN HOBART,404,14,90.71,14,28,4,90.35,101.44
